sample_index,true_label,predicted_label,confidence_score,probability,probability_class_0,probability_class_1
7543,0,1,0.6649380403692647,0.3350619596307352,0.6649380403692647,0.3350619596307352
11906,1,0,0.8057941378770122,0.8057941378770122,0.8057941378770122,0.19420586212298796
6367,0,1,0.5543671679780167,0.5543671679780167,0.4456328320219833,0.5543671679780167
7103,0,1,0.581707173320027,0.581707173320027,0.418292826679973,0.581707173320027
14630,0,1,0.937805753095489,0.937805753095489,0.06219424690451102,0.937805753095489
11939,1,0,0.8069322566141947,0.8069322566141947,0.8069322566141947,0.19306774338580543
7000,0,1,0.7893153976547235,0.7893153976547235,0.21068460234527642,0.7893153976547235
3878,0,1,0.7974060700669677,0.20259392993303224,0.7974060700669677,0.20259392993303224
9523,0,1,0.7455895195707068,0.2544104804292932,0.7455895195707068,0.2544104804292932
8414,0,1,0.5351878882658735,0.5351878882658735,0.46481211173412645,0.5351878882658735
4918,0,1,0.5676527324294361,0.43234726757056385,0.5676527324294361,0.43234726757056385
1762,0,1,0.7765290214770942,0.22347097852290582,0.7765290214770942,0.22347097852290582
983,0,1,0.5969415147192031,0.40305848528079696,0.5969415147192031,0.40305848528079696
6590,0,1,0.7482766020015525,0.25172339799844745,0.7482766020015525,0.25172339799844745
9260,0,1,0.551727218219594,0.551727218219594,0.4482727817804061,0.551727218219594
12613,0,1,0.7583790587536084,0.24162094124639158,0.7583790587536084,0.24162094124639158
537,0,1,0.7495980279932296,0.25040197200677045,0.7495980279932296,0.25040197200677045
7566,0,1,0.6670831378860235,0.6670831378860235,0.33291686211397653,0.6670831378860235
14376,0,1,0.6307838248165922,0.3692161751834078,0.6307838248165922,0.3692161751834078
9355,0,1,0.7268623754103374,0.2731376245896627,0.7268623754103374,0.2731376245896627
7591,0,1,0.8339459828231793,0.8339459828231793,0.16605401717682078,0.8339459828231793
3888,0,1,0.7868493201560928,0.21315067984390723,0.7868493201560928,0.21315067984390723
9322,0,1,0.51646157434319,0.4835384256568101,0.51646157434319,0.4835384256568101
14712,0,1,0.9462381252672987,0.9462381252672987,0.053761874732701345,0.9462381252672987
7663,0,1,0.6901403555903464,0.6901403555903464,0.3098596444096537,0.6901403555903464
4263,0,1,0.7660405493091182,0.23395945069088184,0.7660405493091182,0.23395945069088184
5084,0,1,0.8860137952027415,0.8860137952027415,0.11398620479725848,0.8860137952027415
7310,0,1,0.7208962303938935,0.7208962303938935,0.27910376960610656,0.7208962303938935
7657,0,1,0.5863354688898257,0.5863354688898257,0.4136645311101743,0.5863354688898257
6321,0,1,0.670726509996461,0.670726509996461,0.32927349000353895,0.670726509996461
9454,0,1,0.6263203379551555,0.6263203379551555,0.37367966204484454,0.6263203379551555
14124,0,1,0.8135321844309901,0.8135321844309901,0.18646781556900982,0.8135321844309901
7160,0,1,0.6550796729605873,0.6550796729605873,0.34492032703941256,0.6550796729605873
9117,0,1,0.558188312406634,0.4418116875933661,0.558188312406634,0.4418116875933661
2912,1,0,0.800519091003099,0.800519091003099,0.800519091003099,0.19948090899690094
1985,0,1,0.9494480034454591,0.9494480034454591,0.05055199655454097,0.9494480034454591
3029,1,0,0.8445605540501888,0.8445605540501888,0.8445605540501888,0.15543944594981124
8535,0,1,0.6651007395530734,0.3348992604469267,0.6651007395530734,0.3348992604469267
13494,0,1,0.7981401306838309,0.2018598693161691,0.7981401306838309,0.2018598693161691
2899,1,0,0.926255028608661,0.926255028608661,0.926255028608661,0.07374497139133901
7912,0,1,0.8815533410876721,0.8815533410876721,0.11844665891232792,0.8815533410876721
7426,0,1,0.657364984566401,0.34263501543359903,0.657364984566401,0.34263501543359903
15268,0,1,0.5850500520285566,0.5850500520285566,0.4149499479714434,0.5850500520285566
10084,1,0,0.9812403493039711,0.9812403493039711,0.9812403493039711,0.01875965069602895
8540,0,1,0.6170048277676203,0.38299517223237967,0.6170048277676203,0.38299517223237967
6788,0,1,0.6843352556894513,0.31566474431054864,0.6843352556894513,0.31566474431054864
8036,0,1,0.5668370328793345,0.5668370328793345,0.43316296712066554,0.5668370328793345
4280,0,1,0.7707891473191949,0.2292108526808051,0.7707891473191949,0.2292108526808051
13009,0,1,0.6793070090492673,0.6793070090492673,0.3206929909507327,0.6793070090492673
10342,1,0,0.9057045224042091,0.9057045224042091,0.9057045224042091,0.09429547759579104
13004,0,1,0.670844773397376,0.32915522660262403,0.670844773397376,0.32915522660262403
8374,0,1,0.647473446223568,0.647473446223568,0.3525265537764321,0.647473446223568
6304,0,1,0.6141180245814111,0.6141180245814111,0.38588197541858904,0.6141180245814111
8853,0,1,0.6458961852624551,0.3541038147375449,0.6458961852624551,0.3541038147375449
7725,0,1,0.7103192976630686,0.7103192976630686,0.28968070233693144,0.7103192976630686
481,0,1,0.580552900957846,0.580552900957846,0.41944709904215416,0.580552900957846
8911,0,1,0.7482377078771287,0.25176229212287116,0.7482377078771287,0.25176229212287116
13682,0,1,0.8068838114623238,0.8068838114623238,0.19311618853767612,0.8068838114623238
7883,0,1,0.7752188709967008,0.7752188709967008,0.22478112900329916,0.7752188709967008
15569,0,1,0.6934476406583565,0.6934476406583565,0.3065523593416435,0.6934476406583565
6835,0,1,0.6778700531532534,0.32212994684674656,0.6778700531532534,0.32212994684674656
6314,0,1,0.7811776503639626,0.21882234963603744,0.7811776503639626,0.21882234963603744
6244,0,1,0.7720258530944604,0.7720258530944604,0.22797414690553966,0.7720258530944604
4801,0,1,0.7099186092154219,0.7099186092154219,0.2900813907845782,0.7099186092154219
4990,0,1,0.6303340870929577,0.36966591290704237,0.6303340870929577,0.36966591290704237
6904,0,1,0.7069635961389482,0.29303640386105184,0.7069635961389482,0.29303640386105184
7306,0,1,0.6218747284630083,0.37812527153699166,0.6218747284630083,0.37812527153699166
2435,1,0,0.9632968904699893,0.9632968904699893,0.9632968904699893,0.03670310953001069
6290,0,1,0.7349058765313424,0.7349058765313424,0.2650941234686576,0.7349058765313424
6555,0,1,0.704785368875963,0.29521463112403706,0.704785368875963,0.29521463112403706
466,0,1,0.5568926655344486,0.4431073344655514,0.5568926655344486,0.4431073344655514
15230,0,1,0.6651293353739484,0.6651293353739484,0.3348706646260516,0.6651293353739484
14878,1,0,0.8112726548006329,0.8112726548006329,0.8112726548006329,0.18872734519936712
7898,0,1,0.5292413637998985,0.5292413637998985,0.47075863620010155,0.5292413637998985
