ma_count,exudate_area,vessel_density,glcm_contrast,glcm_homogeneity,glcm_energy,label
10.0,0.0,0.02731384761314953,30.54330624558105,0.9439028689613492,0.5037292215528099,1
14.0,1466.0,0.027201439574332763,27.87757643012516,0.9056762832452203,0.36813705715048006,4
14.0,1562.0,0.02578757648775226,41.19632961037745,0.9038373160624589,0.39244934759994515,2
11.0,1529.0,0.029033432154222803,43.521306190292464,0.8673456212211851,0.3424275649783757,0
13.0,1246.0,0.04474574608934438,46.460016026797774,0.8793815007481185,0.3375209779002314,0
18.0,2131.0,0.027704383478456024,45.6674429468881,0.8931786204535571,0.36960034680828946,4
12.0,2506.0,0.026616935687214637,40.49388975088827,0.8960123721164667,0.3676835160910816,2
19.0,70.0,0.028430631978777713,74.45976883998861,0.7727286423375218,0.2167026628992722,0
9.0,0.0,0.02818071258051439,14.764603659105878,0.9336041805046783,0.3949826207883057,2
15.0,670.0,0.027184927884946166,42.41748399792263,0.8987779685801054,0.38026736903177627,1
13.0,2776.0,0.028717982932079566,46.851215761714506,0.8777432208533543,0.31018725363057376,2
18.0,1883.0,0.03819253486948605,53.51315791669565,0.8549894534479652,0.3250817773960541,0
15.0,3848.0,0.028061399771880883,50.6337717470944,0.8608143968579725,0.2690039165940876,3
12.0,3700.0,0.03600975693122762,51.806114992221595,0.8445808547415101,0.3019397112365537,1
16.0,2818.0,0.026886934681177126,43.815977542922624,0.8686020987748919,0.36951053399569234,0
14.0,1666.0,0.03600770727292237,48.02643966483875,0.865803603808917,0.32451857556611413,0
14.0,2114.0,0.027186554722518942,72.40219477904706,0.7908851916352948,0.22032533504189208,0
15.0,2170.0,0.027319499627514277,28.42851217298749,0.9432401647384351,0.47803097233542347,2
20.0,267.0,0.028830317443533832,30.500167499354305,0.9074504009288675,0.3763706976695605,0
8.0,2942.0,0.029593145334705927,46.71569625279785,0.8897942994486501,0.3423920356093986,2
18.0,473.0,0.027551119645618766,22.535074517803398,0.9434666406336035,0.4695444670227033,2
14.0,71.0,0.026193423831444813,29.518558196722218,0.9257155735338416,0.47574091357932535,0
13.0,548.0,0.026167594728268684,40.65484766580927,0.8857169115992239,0.356376269025329,1
7.0,470.0,0.03999280840246187,106.36041467155812,0.8232658373491414,0.2845359404386061,0
11.0,277.0,0.028064486389636,25.84106456118557,0.9184902862276872,0.38658293684230516,2
12.0,746.0,0.029471456947922962,37.6342213084532,0.903982174617781,0.3630721526648639,2
11.0,2715.0,0.037562720139808485,45.783283138738604,0.8465659610656757,0.3014510866586895,0
19.0,3150.0,0.026792793072893187,45.33760022225352,0.8602990125987839,0.34536732807224485,0
19.0,783.0,0.028564457067195816,44.625325314192324,0.8906316763529516,0.30775480402732397,0
9.0,1500.0,0.031884120581125136,39.1849009601611,0.8827503739512048,0.3696888377464014,0
19.0,291.0,0.028532132023980653,42.97710266898223,0.8779644997742164,0.34825063658498084,0
7.0,2386.0,0.050499417836444745,50.18237564175496,0.8734300059040785,0.310005107423072,0
22.0,2984.0,0.038654717086541945,46.896992024646565,0.8486156399503662,0.29969235515100584,4
18.0,1015.0,0.02974083056879745,91.667033205185,0.7906960552259276,0.23993146844033686,2
14.0,860.0,0.02691770229376827,36.95067372859303,0.9196756285722467,0.36436601215209924,4
18.0,0.0,0.028100156058194603,14.542909953595426,0.9508063517347665,0.5544020704442807,2
16.0,987.0,0.0452883171161758,74.80340974861097,0.8095972391655648,0.2782026841115205,0
8.0,2985.0,0.028701831771120505,22.791235258281944,0.8925876760458433,0.3264843517071913,4
14.0,501.0,0.027434439928678837,33.250999025576064,0.9064475217582043,0.4117510251742832,0
